Chidamber-Kemerer metrics,Sun, 4 Dec 2022 00:22:17 WET
Class,CBO,DIT,LCOM,NOC,RFC,WMC
net.sourceforge.ganttproject.PrjInfos,5,1,4,0,10,10
net.sourceforge.ganttproject.ProjectEventListener,n/a,n/a,n/a,n/a,5,n/a
net.sourceforge.ganttproject.ProjectEventListener.Stub,2,1,5,6,5,5
net.sourceforge.ganttproject.ResourceChartTabContentPanel,10,2,4,0,26,8
net.sourceforge.ganttproject.ResourceDefaultColumn,11,n/a,5,n/a,17,10
net.sourceforge.ganttproject.ResourceLoadGraphicArea,22,6,6,1,36,18
net.sourceforge.ganttproject.ResourceLoadGraphicArea.ResourceChartSelection,8,2,2,0,21,8
net.sourceforge.ganttproject.ResourceLoadGraphicArea.ResourcechartImplementation,19,2,4,0,40,14
net.sourceforge.ganttproject.ResourceTreeImageGenerator,6,1,1,0,30,18
net.sourceforge.ganttproject.ResourceTreeTable,26,8,6,0,78,40
net.sourceforge.ganttproject.ResourceTreeTableModel,19,3,3,0,75,56
net.sourceforge.ganttproject.ResourceTreeTableModel.SelectionKeeper,2,1,1,0,11,6
net.sourceforge.ganttproject.ShowHideColumnsDialog,6,1,1,0,7,3
net.sourceforge.ganttproject.TaskContainmentHierarchyFacadeImpl,17,1,2,0,90,58
net.sourceforge.ganttproject.TaskModelModificationListener,12,2,1,0,22,10
net.sourceforge.ganttproject.TaskTreeImageGenerator,10,1,1,1,51,21
net.sourceforge.ganttproject.TaskTreeImageGenerator.PaintState,2,1,0,0,1,0
net.sourceforge.ganttproject.TaskTreeImageGeneratorExt,9,2,3,0,45,23
net.sourceforge.ganttproject.TestSetupHelper,21,1,8,0,10,8
net.sourceforge.ganttproject.TestSetupHelper.TaskManagerBuilder,11,1,7,0,19,10
net.sourceforge.ganttproject.TreeTableCellEditorImpl,3,1,2,0,33,20
net.sourceforge.ganttproject.TreeTableContainer,32,5,8,2,83,44
net.sourceforge.ganttproject.TreeTableContainer.ChartUpdater,2,1,4,0,6,4
net.sourceforge.ganttproject.TreeTableContainer.CollapseAllAction,2,3,1,0,7,3
