Complexity metrics,Sun, 4 Dec 2022 04:19:03 WET
Method,CogC,ev(G),iv(G),v(G)
biz.ganttproject.core.chart.canvas.Canvas.Label.setVisible(boolean),2,1,2,3
"biz.ganttproject.core.chart.canvas.Canvas.Line.Line(int, int, int, int)",0,1,1,1
biz.ganttproject.core.chart.canvas.Canvas.Line.getArrow(),0,1,1,1
biz.ganttproject.core.chart.canvas.Canvas.Line.getFinishX(),0,1,1,1
biz.ganttproject.core.chart.canvas.Canvas.Line.getFinishY(),0,1,1,1
biz.ganttproject.core.chart.canvas.Canvas.Line.getStartX(),0,1,1,1
biz.ganttproject.core.chart.canvas.Canvas.Line.getStartY(),0,1,1,1
biz.ganttproject.core.chart.canvas.Canvas.Line.setArrow(Arrow),0,1,1,1
biz.ganttproject.core.chart.canvas.Canvas.Polygon.Polygon(int...),1,1,2,2
biz.ganttproject.core.chart.canvas.Canvas.Polygon.getBottomY(),0,1,1,1
biz.ganttproject.core.chart.canvas.Canvas.Polygon.getHeight(),0,1,1,1
biz.ganttproject.core.chart.canvas.Canvas.Polygon.getLeftX(),0,1,1,1
biz.ganttproject.core.chart.canvas.Canvas.Polygon.getMiddleX(),0,1,1,1
biz.ganttproject.core.chart.canvas.Canvas.Polygon.getMiddleY(),0,1,1,1
biz.ganttproject.core.chart.canvas.Canvas.Polygon.getPointCount(),0,1,1,1
biz.ganttproject.core.chart.canvas.Canvas.Polygon.getPointsX(),0,1,1,1
biz.ganttproject.core.chart.canvas.Canvas.Polygon.getPointsY(),0,1,1,1
biz.ganttproject.core.chart.canvas.Canvas.Polygon.getRightX(),0,1,1,1
biz.ganttproject.core.chart.canvas.Canvas.Polygon.getTopY(),0,1,1,1
biz.ganttproject.core.chart.canvas.Canvas.Polygon.getWidth(),0,1,1,1
biz.ganttproject.core.chart.canvas.Canvas.Polygon.toString(),0,1,1,1
"biz.ganttproject.core.chart.canvas.Canvas.Rectangle.Rectangle(int, int, int, int)",0,1,1,1
biz.ganttproject.core.chart.canvas.Canvas.Rectangle.getBackgroundPaint(),0,1,1,1
biz.ganttproject.core.chart.canvas.Canvas.Rectangle.setBackgroundPaint(Paint),0,1,1,1
biz.ganttproject.core.chart.canvas.Canvas.Shape.addStyle(String),0,1,1,1
biz.ganttproject.core.chart.canvas.Canvas.Shape.getBackgroundColor(),0,1,1,1
biz.ganttproject.core.chart.canvas.Canvas.Shape.getForegroundColor(),0,1,1,1
biz.ganttproject.core.chart.canvas.Canvas.Shape.getModelObject(),0,1,1,1
biz.ganttproject.core.chart.canvas.Canvas.Shape.getOpacity(),0,1,1,1
biz.ganttproject.core.chart.canvas.Canvas.Shape.getStyle(),0,1,1,1
biz.ganttproject.core.chart.canvas.Canvas.Shape.getStyles(),1,1,1,2
biz.ganttproject.core.chart.canvas.Canvas.Shape.hasStyle(String),0,1,1,1
biz.ganttproject.core.chart.canvas.Canvas.Shape.isVisible(),0,1,1,1
biz.ganttproject.core.chart.canvas.Canvas.Shape.setBackgroundColor(Color),0,1,1,1
biz.ganttproject.core.chart.canvas.Canvas.Shape.setForegroundColor(Color),0,1,1,1
biz.ganttproject.core.chart.canvas.Canvas.Shape.setModelObject(Object),0,1,1,1
biz.ganttproject.core.chart.canvas.Canvas.Shape.setOpacity(float),0,1,1,1
biz.ganttproject.core.chart.canvas.Canvas.Shape.setStyle(String),0,1,1,1
biz.ganttproject.core.chart.canvas.Canvas.Shape.setVisible(boolean),0,1,1,1
"biz.ganttproject.core.chart.canvas.Canvas.Text.Text(int, int, String, SpatialIndex<Text>)",0,1,1,1
"biz.ganttproject.core.chart.canvas.Canvas.Text.Text(int, int, TextSelector)",0,1,1,1
"biz.ganttproject.core.chart.canvas.Canvas.Text.Text(int, int, TextSelector, SpatialIndex<Text>)",0,1,1,1
"biz.ganttproject.core.chart.canvas.Canvas.Text.createLabel(String, int)",0,1,1,1
"biz.ganttproject.core.chart.canvas.Canvas.Text.createLabel(String, int, int)",0,1,1,1
biz.ganttproject.core.chart.canvas.Canvas.Text.getBottomY(),0,1,1,1
biz.ganttproject.core.chart.canvas.Canvas.Text.getFont(),0,1,1,1
biz.ganttproject.core.chart.canvas.Canvas.Text.getHAlignment(),0,1,1,1
biz.ganttproject.core.chart.canvas.Canvas.Text.getLabels(TextMetrics),0,1,1,1
biz.ganttproject.core.chart.canvas.Canvas.Text.getLeftX(),0,1,1,1
biz.ganttproject.core.chart.canvas.Canvas.Text.getMaxLength(),0,1,1,1
biz.ganttproject.core.chart.canvas.Canvas.Text.getTextSelector(),0,1,1,1
biz.ganttproject.core.chart.canvas.Canvas.Text.getVAlignment(),0,1,1,1
biz.ganttproject.core.chart.canvas.Canvas.Text.index(Label),2,1,2,3
"biz.ganttproject.core.chart.canvas.Canvas.Text.setAlignment(HAlignment, VAlignment)",0,1,1,1
biz.ganttproject.core.chart.canvas.Canvas.Text.setFont(Font),0,1,1,1
biz.ganttproject.core.chart.canvas.Canvas.Text.setMaxLength(int),0,1,1,1
biz.ganttproject.core.chart.canvas.Canvas.Text.setSelector(TextSelector),0,1,1,1
biz.ganttproject.core.chart.canvas.Canvas.Text.toString(),0,1,1,1
"biz.ganttproject.core.chart.canvas.Canvas.TextGroup.TextGroup(int, int, int, String...)",1,1,2,2
"biz.ganttproject.core.chart.canvas.Canvas.TextGroup.addText(int, int, TextSelector)",0,1,1,1
biz.ganttproject.core.chart.canvas.Canvas.TextGroup.getBottomY(),0,1,1,1
biz.ganttproject.core.chart.canvas.Canvas.TextGroup.getBottomY(int),0,1,1,1
biz.ganttproject.core.chart.canvas.Canvas.TextGroup.getColor(int),0,1,1,1
biz.ganttproject.core.chart.canvas.Canvas.TextGroup.getFont(int),0,1,1,1
biz.ganttproject.core.chart.canvas.Canvas.TextGroup.getLeftX(),0,1,1,1
biz.ganttproject.core.chart.canvas.Canvas.TextGroup.getLine(int),0,1,1,1
biz.ganttproject.core.chart.canvas.Canvas.TextGroup.getLineCount(),0,1,1,1
"biz.ganttproject.core.chart.canvas.Canvas.TextGroup.getTotalHeight(FontChooser, List<Integer>)",1,1,2,2
biz.ganttproject.core.chart.canvas.Canvas.TextGroup.setFonts(FontChooser),4,3,3,4
"biz.ganttproject.core.chart.canvas.Canvas.bind(Shape, Object)",0,1,1,1
biz.ganttproject.core.chart.canvas.Canvas.clear(),1,1,2,2
"biz.ganttproject.core.chart.canvas.Canvas.createDetachedRectangle(int, int, int, int)",1,1,1,2
biz.ganttproject.core.chart.canvas.Canvas.createLayers(int),1,1,2,2
"biz.ganttproject.core.chart.canvas.Canvas.createLine(int, int, int, int)",0,1,1,1
biz.ganttproject.core.chart.canvas.Canvas.createPolygon(int...),0,1,1,1
"biz.ganttproject.core.chart.canvas.Canvas.createRectangle(int, int, int, int)",0,1,1,1
"biz.ganttproject.core.chart.canvas.Canvas.createText(int, int, String)",0,1,1,1
"biz.ganttproject.core.chart.canvas.Canvas.createText(int, int, TextSelector)",0,1,1,1
"biz.ganttproject.core.chart.canvas.Canvas.createTextGroup(int, int, int, String...)",0,1,1,1
biz.ganttproject.core.chart.canvas.Canvas.getLayer(int),2,2,2,3
biz.ganttproject.core.chart.canvas.Canvas.getLayers(),0,1,1,1
biz.ganttproject.core.chart.canvas.Canvas.getPrimitive(Object),0,1,1,1
"biz.ganttproject.core.chart.canvas.Canvas.getPrimitive(int, int)",0,1,1,1
"biz.ganttproject.core.chart.canvas.Canvas.getPrimitive(int, int, int, int)",6,5,5,8
biz.ganttproject.core.chart.canvas.Canvas.newLayer(),0,1,1,1
biz.ganttproject.core.chart.canvas.Canvas.paint(Painter),13,1,10,10
"biz.ganttproject.core.chart.canvas.Canvas.setOffset(int, int)",0,1,1,1
"biz.ganttproject.core.chart.canvas.DummySpatialIndex.Rect.Rect(T, int, int, int, int)",0,1,1,1
biz.ganttproject.core.chart.canvas.DummySpatialIndex.Rect.toString(),0,1,1,1
biz.ganttproject.core.chart.canvas.DummySpatialIndex.clear(),0,1,1,1
"biz.ganttproject.core.chart.canvas.DummySpatialIndex.get(int, int)",0,1,1,1
"biz.ganttproject.core.chart.canvas.DummySpatialIndex.get(int, int, int, int)",4,3,1,6
"biz.ganttproject.core.chart.canvas.DummySpatialIndex.put(T, int, int, int, int)",0,1,1,1
biz.ganttproject.core.chart.canvas.DummySpatialIndex.values(),0,1,1,1
"biz.ganttproject.core.chart.canvas.FontChooser.FontChooser(Properties, TextMetrics, Supplier<Font>)",0,1,1,1
biz.ganttproject.core.chart.canvas.FontChooser.decreaseBaseFontSize(),1,1,2,2
biz.ganttproject.core.chart.canvas.FontChooser.getColor(String),0,1,1,1
biz.ganttproject.core.chart.canvas.FontChooser.getFont(String),24,2,9,10
biz.ganttproject.core.chart.canvas.FontChooser.getMarginBottom(String),1,2,1,2
